,Date,News
0,2007-01-09,"Apple Introduces Innovative Cellphone : Apple chose the name iPhone even though Cisco Systems had recently introduced a Wi-Fi-based phone with the same name.Samsung vs. Apple : Samsung thinks it can crack Apple’s hold on the music player market.In Cingular-Apple Deal, Only Phone Was Missing : With no prototype, the Cingular board’s approval of the partnership was an act of blind trust.New Mobile Phone Signals Apple’s Ambition : Steven P. Jobs said the phone would lead to a synthesis of communications, video, music and computing.For Apple Chief, Gadgets' Glitter Outshines Scandal : As Steve Jobs was preparing to take the stage at the MacWorld trade show to make his buzz-drenched annual keynote address, pundits were piling on to excoriate him for Apple's options-backdating scandal. True to form, Mr. Jobs riveted the audience ...Corrections : Because of an editing error, an article in Business Day on Jan. 1 about plans by the Walt Disney Company to introduce a revamped Web site at the Consumer Electronics Show referred incorrectly to the business relationship between Apple and Pixar An...Correction: For the Record : Because of an editing error, an article in Business Day on Jan. 1 about plans by the Walt Disney Company to introduce a revamped Web site at the Consumer Electronics Show referred incorrectly to the business relationship between Apple and Pixar An...The iPhone Rumors Are Right&#8230;Finally : OK, so after three years of being wrong, the rumor sites were finally right. Now there IS an Apple cellphone. Or, rather, will be one in June.Pricing the iPhone : Rob Glaser, chief executive of Real Networks, on Apple’s new iPhone.Today in Business : CH&#225;VEZ PLAN DRAWS ALARM Investors reacted with alarm in the United States and throughout Latin America as they measured the impact of a plan by Venezuela&#8217;s president, Hugo Ch&#225;vez, left, to nationalize critical areas of the economy...."
1,2007-01-10,"Apple Waves Its Wand at the Phone : The new iPhone is so packed with possibilities that the cellphone may actually be the least interesting part.Apple Introduces Innovative Cellphone : Apple chose the name iPhone even though Cisco Systems had recently introduced a Wi-Fi-based phone with the same name.Cisco, Claiming Ownership of ‘iPhone,’ Sues Apple : Cisco Systems filed a trademark infringement lawsuit against Apple, claiming rights to the iPhone brand.Apple Waves Its Wand, Again : Steve Jobs has granted the wishes of Apple followers by turning the ordinary cellphone into the iPhone.In Cingular-Apple Deal, Only Phone Was Missing : With no prototype, the Cingular board’s approval of the partnership was an act of blind trust.Phone Shows Apple’s Impact on Consumer Products : Steve Jobs’s method is to refine existing technologies.Cisco Sues Apple Over Use of iPhone Name : Cisco has owned the trademark on the name ""iPhone"" since 2000, when it acquired InfoGear Technology Corp., which originally registered the name.Corrections : Because of an editing error, an article in Business Day on Jan. 1 about plans by the Walt Disney Company to introduce a revamped Web site at the Consumer Electronics Show referred incorrectly to the business relationship between Apple and Pixar An...Correction: For the Record : Because of an editing error, an article in Business Day on Jan. 1 about plans by the Walt Disney Company to introduce a revamped Web site at the Consumer Electronics Show referred incorrectly to the business relationship between Apple and Pixar An...Getting Graphic With Vista  : When shopping for a new computer, what kind of graphics card will be necessary to run Microsoft’s Windows Vista?"
2,2007-02-22,"Settlement Lets Apple Use ‘iPhone’ : Apple and Cisco settled a dispute over the iPhone trademark, which Apple wants for its much anticipated device.IPod’s Groovy Factor : Toy makers have produced a variety of novelty items, from potted plants to shaggy creatures, to plug an iPod into.INSIDE : Blair Says Iraq Pullback Will Begin Within Months  Prime Minister Tony Blair said Britain would begin pulling up to 1,600 of its troops out of southern Iraq within months but gave no details.  PAGE A8    Italy's Prime Minister Quits  Italy's fragi...MP3 Patents in Upheaval After Verdict : Microsoft was ordered by a federal jury to pay $1.52 billion in a patent dispute over the MP3 format.Dow Slides, but Technology Lifts Nasdaq : Iran’s refusal to suspend uranium enrichment rattled investors and tempered a tech rally spurred by a strong outlook from the chip maker Analog Devices.TODAY IN BUSINESS : IPHONE DISPUTE SETTLED Cisco Systems and Apple said they had settled the trademark-infringement lawsuit that threatened to derail Apple's use of the iPhone name for its much-hyped new cellular phone. [Page C1.]    RATE RISE IN JAPAN The Japanese c...Bad Taste Is Their Kryptonite : Unlikely superheroes were to be introduced at a comic book convention at the Javits Convention Center in New York.Art in Review; Rachel Harrison : If I Did It  Greene-Naftali  526 West 26th Street, Chelsea  Through March 31       When it is good, the art of Rachel Harrison is among the strongest and most provocative around, and the new, radiantly colored assemblages in her fifth exhibition a...GQ Hopes to Make the ‘G’ Stand for Generosity : Burnishing the image of a brand or company by forging ties with a philanthropy or charity is becoming increasingly popular on Madison Avenue.Art in Review : Rachel Harrison at Greene-Naftali, Marc Handelman at Sikkema Jenkins & Company, Sun Koo Yuh at Nancy Margolis and more."
3,2007-02-23,"MP3 Patents in Upheaval After Verdict : Microsoft was ordered by a federal jury to pay $1.52 billion in a patent dispute over the MP3 format.Dow Slides, but Technology Lifts Nasdaq : Iran’s refusal to suspend uranium enrichment rattled investors and tempered a tech rally spurred by a strong outlook from the chip maker Analog Devices.Art in Review; Rachel Harrison : If I Did It  Greene-Naftali  526 West 26th Street, Chelsea  Through March 31       When it is good, the art of Rachel Harrison is among the strongest and most provocative around, and the new, radiantly colored assemblages in her fifth exhibition a...New Inquiry on Options at KB Home : Federal prosecutors are looking into stock-option backdating at KB Home, but the company said it was not the target of the investigation.Deals in Radio and Food; Remorse From an Airline : Regulators will have more time on their hands as the Bush administration rejected more oversight of the rapidly growing hedge fund industry.GQ Hopes to Make the ‘G’ Stand for Generosity : Burnishing the image of a brand or company by forging ties with a philanthropy or charity is becoming increasingly popular on Madison Avenue.In Time Trial, Leipheimer Adds to Lead : Levi Leipheimer blew away his closest competitors in the Stage 5 time trial, extending his overall lead to 21 seconds and giving him an apparent lock on the Tour of California title with two stages left.Retired Politicians Spend Unused Campaign Funds : New York’s campaign finance laws allow former candidates to keep spending unused contributions. Art in Review : Rachel Harrison at Greene-Naftali, Marc Handelman at Sikkema Jenkins & Company, Sun Koo Yuh at Nancy Margolis and more.Theater Listings : THEATER."
4,2007-04-24,"No Charges for Apple Over Options : Regulators said they would bring no civil charges against Apple over the backdating of executive stock options.Ex-Officers of Apple Await Suit : Two former executives expect to be sued this week by the S.E.C. over the company’s backdating of employee stock options.Apple's Ex-C.F.O. Reaches for Settlement with S.E.C. : Apple's former chief financial officer, Fred D. Anderson, is preparing to settle with the Securities and Exchange Commission over the dating of an option grant to senior officials in January 2001, The New York Times reported Tuesday. The news foll...S.E.C. Charges Two Apple Ex-Officers Over Options : The Securities and Exchange Commission filed lawsuits against two former Apple executives on Tuesday, charging them with fraud related to the backdating of stock options. But though Apple itself was not charged, its highly visible chief executive,...Ethanol Subsidies? Well, Maybe : Senator John McCain was once one of those relatively few politicians willing to speak out against subsidies for ethanol, a stance that in Iowa is akin to campaigning against apple pie. His position was one of the main reasons Mr. McCain essentiall...News Summary : INTERNATIONAL A3-14    Bush and Cheney Chide Democrats on Iraq  President Bush and Vice President Dick Cheney aggressively challenged the motives of Congressional Democrats, accusing them of political opportunism, as the House and Senate prepared ...TODAY IN BUSINESS : THEY'RE NO. 1 Toyota Motor Company officially took over bragging rights from General Motors as the world's largest automaker, prompting a round of finger pointing in Detroit over what went wrong, and what G.M. should do to regain its global leader...TODAY IN BUSINESS : A $1.7 BILLION ANNUAL PAYDAY -- A leading hedge fund manager, James Simons, earned more than $1.7 billion last year. Are he and his fellow hedge fund managers this generation's robber barons, using wealth to create wealth, or are they new-economy ...A Shortcut to Your Web Destination : Forgive me, blog fans, for I have vacationed. I was away all last week on spring break with my family, and took a breather from blogging, video-making and comment-reading. But don't worry, I'll make it up to you: I have some great blog items saved...Corzine Leaves Hospital Bed for First Time Since Crash : Gov. Jon S. Corzine of New Jersey, freed from a catheter tube in his back, was able to sit upright in a chair on Tuesday for the first time since his car accident."
5,2007-04-25,"No Charges for Apple Over Options : Regulators said they would bring no civil charges against Apple over the backdating of executive stock options.In Comments About Apple Chief, Questions of Motive : A former Apple board member kept suspicions about Apple’s options-backdating policies swirling around Steven P. Jobs.No Charges for Apple Over Options : Federal securities regulators said Tuesday that they would bring no civil charges against Apple over the backdating of executive stock options. But they stopped short of removing the cloud that for nearly a year has hung over the company's chief e...Apple's Chief Takes a Bow, And a Blow : Surpassing even the most optimistic forecasts, Apple delivered an 88 percent increase in profit in its second quarter, sending its shares over $100 for the first time in after-hours trading.      But while investors were rewarding the chief execut...Apple Zooms Past Rivals, With 88% Profit Growth : The company surpassed even the most optimistic forecasts on strong sales of Macintosh computers and iPod music players.TODAY IN BUSINESS : NEW BID FOR ABN AMRO Royal Bank of Scotland and two other lenders started the biggest takeover battle in banking industry by offering 72.2 billion euros, or $98.5 billion, for the Dutch bank ABN Amro. The offer trumps a bid by Barclays for the ban...Garden Q.&A. : Q. March in Missouri was unseasonably warm; then we had several nights at 20 degrees or lower. The leaves on my Nikko Blue hydrangeas died, and I’m sure the flower buds died too, but will I lose the plants themselves? And will the crab apple tree,...News Summary : INTERNATIONAL A3-14    Bush and Cheney Chide Democrats on Iraq  President Bush and Vice President Dick Cheney aggressively challenged the motives of Congressional Democrats, accusing them of political opportunism, as the House and Senate prepared ...Two Phones, One Calendar : Is there a way for two Treo 600 smartphones to synchronize with a single Microsoft Outlook profile? TODAY IN BUSINESS : THEY'RE NO. 1 Toyota Motor Company officially took over bragging rights from General Motors as the world's largest automaker, prompting a round of finger pointing in Detroit over what went wrong, and what G.M. should do to regain its global leader..."
6,2007-04-26,"In Comments About Apple Chief, Questions of Motive : A former Apple board member kept suspicions about Apple’s options-backdating policies swirling around Steven P. Jobs.Apple's Chief Takes a Bow, And a Blow : Surpassing even the most optimistic forecasts, Apple delivered an 88 percent increase in profit in its second quarter, sending its shares over $100 for the first time in after-hours trading.      But while investors were rewarding the chief execut...Apple Zooms Past Rivals, With 88% Profit Growth : The company surpassed even the most optimistic forecasts on strong sales of Macintosh computers and iPod music players.In Comments About Apple Chief, Questions of Motive : When the former chief financial oficer of Apple, Fred D. Anderson, suggested that he had been misled by his former boss, Steven P. Jobs, over the improper back-dating of options, the shot echoed through Silicon Valley. Valley operators were left w...Shares End Mixed Despite Strong Results : A modest advance gave the Dow Jones industrial average another record close.TODAY IN BUSINESS : NEW BID FOR ABN AMRO Royal Bank of Scotland and two other lenders started the biggest takeover battle in banking industry by offering 72.2 billion euros, or $98.5 billion, for the Dutch bank ABN Amro. The offer trumps a bid by Barclays for the ban...Garden Q.&A. : Q. March in Missouri was unseasonably warm; then we had several nights at 20 degrees or lower. The leaves on my Nikko Blue hydrangeas died, and I’m sure the flower buds died too, but will I lose the plants themselves? And will the crab apple tree,...Two Phones, One Calendar : Is there a way for two Treo 600 smartphones to synchronize with a single Microsoft Outlook profile? TODAY IN BUSINESS : FORD SEES A FUTURE -- Ford Motor Company executives said that a smaller loss in the first quarter was proof that their corporate overhaul was working. [Page C1.]    LOOKING FOR A BIG HIT -- Perella Weinberg Partners may be just a year and a half o...It’s Spring in New York, Finally. So Who Needs April in Paris? : Now’s the moment to get outside and head for a favorite spot to see your favorite spring blooms. Here are prime spots to soak up the season."
7,2007-04-27,"Weighing Jobs's Role In a Scandal : In June 2001, Fortune magazine put Steven P. Jobs on its cover. This, I realize, is not exactly breaking news; the magazine put Mr. Jobs on its cover with shameless regularity.     This time was different, though. The headline read, ''Inside the G...Weighing Jobs’s Role in a Scandal : As hard as Steven P. Jobs has worked to convey the image of an above-the-fray visionary, that’s not quite the reality.Shares End Mixed Despite Strong Results : A modest advance gave the Dow Jones industrial average another record close.TODAY IN BUSINESS : FORD SEES A FUTURE -- Ford Motor Company executives said that a smaller loss in the first quarter was proof that their corporate overhaul was working. [Page C1.]    LOOKING FOR A BIG HIT -- Perella Weinberg Partners may be just a year and a half o...It’s Spring in New York, Finally. So Who Needs April in Paris? : Now’s the moment to get outside and head for a favorite spot to see your favorite spring blooms. Here are prime spots to soak up the season.A Sandy Beach, a Sunny Climate and Canadian Wine : Vineyards, orchards and great weather are luring second-home buyers to Naramata, a British Columbia village 50 miles north of the United States border.North Carolina’s Triangle: Nature, Culture and Barbecue : The Raleigh, Durham and Chapel Hill region of North Carolina blooms in spring and summer, when families can bask in the region’s generous offerings."
8,2007-07-13,"Baseballs, Batteries and Bad Ads : Is it cheating to write a “grab bag” column in the middle of July, when you’re days away from vacation?Tax Loopholes Sweeten a Deal for Blackstone : The Blackstone Group, the big buyout firm, has devised a way for its partners to avoid paying taxes on $3.7 billion.A Supermodel Captured, but Not by a Camera :  “Captivity” the movie has been thoroughly eclipsed by “Captivity” the marketing.Vacation Is No Time to Be Idle : A growing number of people are taking “virtuous vacations” where they spend time working for nonprofit groups.2 Police Shooting Suspects Arrive to Face Charges and an Army of Officers : Robert Ellis and Dexter Bostic were arraigned and held without bail after being captured in Pennsylvania. FOR CHILDREN : FOR CHILDREN       DealBook at Sun Valley: Late Night With Eric Schmidt : After two days of watching boldface names from afar, David Carr sits down with Eric Schmidt of Google for a late night chat. Surprise: He thinks Viacom’s $1 billion copyright suit against Google is nonsense.Sun Valley: Late Night With Eric Schmidt : Thursday night at the Allen & Company conference at Sun Valley, the mogul-cracy was in full frolic by the time DealBook and his fellow press buddies got back from dinner. The juxtapositions were fascinating to us geeks who have been peering in on ...Spare Times: For Children : FOR CHILDREN."
9,2007-07-19,"Bed-and-Breakfasts of the Big Apple : Manhattan's Stay the Night and SoHo Loft, and City Island's Le Refuge Inn.  Corrections: For the Record : Because of an editing error, an article in Business Day yesterday about the growth of communications equipment manufacturing in Taiwan misidentified the controlling political party there. The Democratic Progressive Party captured the presidency in...A Smarter Way to Fetch E-Mail : I know everybody's sick to death of hearing about Apple's latest i-product, so I promise not to even mention its name in this newsletter. But as I was trying to get my e-mail set up on that cellphone, I stumbled upon a delicious secret feature of ...Earnings Decline at McClatchy and Dow Jones : AS  newspapers suffer from falling advertising revenue, the McClatchy Company and Dow Jones & Company yesterday became the latest companies in the industry to report sharply lower second-quarter earnings.     McClatchy reported earnings of $39.9 m...Good News for the Subway: Underarm Candy : Women’s antiperspirant deodorants make a lot of promises, and companies are promising a richer fragrance.Earnings Decline at McClatchy and Dow Jones : A continuing decline in advertising revenue pushed second quarter profits lower at two major publishers.Doing Their Best to Blend in, Amateurs End Up Standing Out : Six amateurs are competing at the British Open, without a chance to win a share of the $8.5 million purse no matter how well they play. On a Northwest Island, a Whiff of England : Mary Fisher had the guts to build an English garden on an island in the Puget Sound and was successful.A Landscape That the Glaciers Overlooked : Tucked into Ohio’s southeast corner lies a densely wooded but thinly populated region of rugged slopes and cool hollows, of spring-fed creeks and cascading waterfalls, known as the Hocking Hills.Global Positioning by Cellphone : New services track children, locate concerts and blaze new trails."
