date,company_focused_summary
2016-01-01,No Information
2016-01-02,No Information
2016-01-03,No Information
2016-01-04,"Fast Money Traders Are Bullish On McDonald's, Netflix And Apple"
2016-01-05,Apple Continues To Fall As iPhone Production May Be Cut By 30%. Does Samsung's Latest Warning Spell Trouble For Apple?
2016-01-06,"Detwiler Fenton Sees AAPL, GOOG, AMZN Or MSFT Possibily Acquiring AMCC To Supplement ARM Efforts. Apple, Fitbit Weakness Drive Down Suppliers. Watching Many Apple Suppliers Following Mid. Day Report of iPhone Output Reductions. Apple, Fitbit Weakness Drive Down Suppliers. Watching Many Apple Suppliers Following Mid. Day Report of iPhone Output Reductions. Apple, Fitbit Weakness Drive Down Suppliers. Watching Many Apple Suppliers Following Mid. Day Report of iPhone Output Reductions. Apple, Fitbit Weakness Drive Down Suppliers. Apple Is The Second Cheapest Mega. Apple Is The Second Cheapest Mega. Apple, Fitbit Weakness Drive Down Suppliers. Watching Many Apple Suppliers Following Mid. Day Report of iPhone Output Reductions. Apple, Fitbit Weakness Drive Down Suppliers. Watching Many Apple Suppliers Following Mid. Day Report of iPhone Output Reductions. of Expected Apple iPhone Output Reductions. Apple Is The Second Cheapest Mega. Apple, Fitbit Weakness Drive Down Suppliers. Apple Is The Second Cheapest Mega"
2016-01-07,Why Gilead Is 'The Apple Of Biotech'. Report: Apple Could Buy GoPro. Hearing Dealreporter Reporting Apple Could Go After GoPro
2016-01-08,"Cardinal Bank Offers Apple Pay On Mobile Services. PacCrest Goes Against Apple, Cirrus Bears: iPhone 7 Noise. Apple Rebounds After Cirrus And Qorvo Slash Guidance. Despite Supply Chain Weakness, Credit Suisse Likes Apple's Long. Apple's Stock Is Discounting All The Bad News. JP Morgan on Telecom & Networking Equipment, IT Hardware Group: Four Negative News Items Highlighted, 'AAPL supplier warnings, CUDA misses, AMZN's chips, NTAP CFO leaves'. Pacific Crest Cuts Qorvo On Apple, Samsung And China Doldrums. Apple Rebounds After Cirrus And Qorvo Slash Guidance. Buy The Apple. Despite Supply Chain Weakness, Credit Suisse Likes Apple's Long. Apple's Stock Is Discounting All The Bad News. Apple & Google Competing For NFL Partnership"
2016-01-09,"Munster Says Apple Prefers Competition Rather Than Acquisition Of Fitbit, GoPro"
2016-01-10,No Information
2016-01-11,Where Are People Using Apple Pay?. Where Are People Using Apple Pay?. Phoenix Marketing Int'l Research Notes 38% Of Apple Pay Users Using Apple Pay At MCD Made At Least 1 Transaction Per Month For Past 5 Months
2016-01-12,"Apple Is Under. Apple Is Under. Apple Is Under. Tech Sector Downgraded At Morgan Stanley, Firm Cuts Apple Exposure In Half. Morgan Stanley Strategist Adam Parker Downgrades Technology Sector From Marketweight To Underweight, Reduces Exposure To AAPL From 4% to 2%, Removes LNKD & PANW Positions, Adds To GOOGL Position. Tech Sector Downgraded At Morgan Stanley, Firm Cuts Apple Exposure In Half. Morgan Stanley Strategist Adam Parker Downgrades Technology Sector From Marketweight To Underweight, Reduces Exposure To AAPL From 4% to 2%, Removes LNKD & PANW Positions, Adds To GOOGL Position. Apple Lawsuit. 's Suit Against Apple"
2016-01-13,"Apple, AT&T Eyeing Time Warner Assets. UPDATE: Global Equities' Chowdhry Believes Apple Could Be Next In Line Following GoPro, FitBit If CEO and CFO Are Not Replaced 'Immediately,' Says Retail Exec at Apple 'Not Needed'. DeWitt: Apple Should Buy Time Warner. Report: Apple Keeping 'Close Eye' On Time Warner Amid M&A Rumors. Apple, AT&T Eyeing Time Warner Assets"
2016-01-14,Top Analysts Discuss Apple And BlackBerry After CES And Guidance Updates. CNBC's Scott Wapner Tweets: 'More on news of mtg between $GPRO and $AAPL. What Are Suppliers Saying About Apple's Q4 Demand?
2016-01-15,What Oppenheimer Thinks Analog Devices' Miss Means For Apple. Should Analog Device's Warning Spook Apple Investors?. Hearing Unconfirmed Market Chatter of Virnetx Settlement With Apple Over Patents
2016-01-16,No Information
2016-01-17,SunTrust Still Bullish On Analog Devices Despite Apple Hurting More Than Expected
2016-01-18,No Information
2016-01-19,"Greenlight Letter Shows Largest Longs Apple, CONSOL Energy, GM, Gold, Time Warner. Greenlight Letter Shows Largest Longs Apple, CONSOL Energy, GM, Gold, Time Warner. Greenlight Letter Shows Largest Longs Apple, CONSOL Energy, GM, Gold, Time Warner. ParkerVision Institues Investigation Of Unfair Trade Practices By Apple, LG, Samsung, And Qualcomm. ParkerVision Institues Investigation Of Unfair Trade Practices By Apple, LG, Samsung, And Qualcomm. Greenlight Letter Shows Largest Longs Apple, CONSOL Energy, GM, Gold, Time Warner"
2016-01-20,Apple Music's Latest Competition Is Named 'Deezer'
2016-01-21,Is Apple Teaming With BlackBerry On Driverless Car Research?. Why Apple's Q1 Expectations And Contracting Multiple Don't Signal A Short. Report: Apple Pay And China UnionPay Working Together
2016-01-22,"Why Did Google Pay Apple $1 Billion?. Are Apple's Suppliers Hinting Of Poor iPhone Demand?. Suppliers Say Apple Now Placing Orders One Month in Advance Instead of Three, Signaling Likely iPhone Sales Decline"
2016-01-23,No Information
2016-01-24,No Information
2016-01-25,"BlackRock Hikes Apple Stake, Now Likely Tech Giant's No. BlackRock Hikes Apple Stake, Now Likely Tech Giant's No. Stock Marquee Crowded With Oil, Apple, And The Fed. Stock Marquee Crowded With Oil, Apple, And The Fed. Stock Marquee Crowded With Oil, Apple, And The Fed. Forget iPhones, Apple Investors Are Really Focused On This. Could Negatively Pre Announce Amid DMS Segment's Heavy Exposure to Apple. Stock Marquee Crowded With Oil, Apple, And The Fed. Will Declining iPhone Demand Impact Apple's Earnings?. Will Declining iPhone Demand Impact Apple's Earnings?. Forget iPhones, Apple Investors Are Really Focused On This"
2016-01-26,"Antares Pharma Names Robert Apple CEO, To Succeed Eamonn Hobbs. Apple Comments On Upcoming Catalysts. No Shortage of Stock Drivers: Oil Swivels, Fed Meets, Apple Reports. This Apple Supplier Just Dropped A 'Bombshell' And It's Not Good. No Shortage of Stock Drivers: Oil Swivels, Fed Meets, Apple Reports. No Shortage of Stock Drivers: Oil Swivels, Fed Meets, Apple Reports. No Shortage of Stock Drivers: Oil Swivels, Fed Meets, Apple Reports. Billion From Apple: Here's Why. Wood: iPhone Installment Plans, Apple Watch Could Catch Investors By Surprise"
2016-01-27,"Do Apple And Xiaomi's Numbers Bode Poorly For China's Smartphone Market?. Do Apple And Xiaomi's Numbers Bode Poorly For China's Smartphone Market?. Apple and Boeing Earnings, Plus Oil Drag, Combine To Dent Stocks. Do Apple And Xiaomi's Numbers Bode Poorly For China's Smartphone Market?. Apple and Boeing Earnings, Plus Oil Drag, Combine To Dent Stocks. Do Apple And Xiaomi's Numbers Bode Poorly For China's Smartphone Market?. Do Apple And Xiaomi's Numbers Bode Poorly For China's Smartphone Market?. Do Apple And Xiaomi's Numbers Bode Poorly For China's Smartphone Market?. Apple and Boeing Earnings, Plus Oil Drag, Combine To Dent Stocks. Apple and Boeing Earnings, Plus Oil Drag, Combine To Dent Stocks. For Apple, It's 'Macro Macro Macro!'. Do Apple And Xiaomi's Numbers Bode Poorly For China's Smartphone Market?"
2016-01-28,"Oppenheimer Upgrades Key Apple Supplier. Would An Apple REIT Spin. Marathon Patent Group Announces Unit Dynamic Advances Has Litigation Update Related to Patent Infringement Case Against Apple. Would An Apple REIT Spin. The Apple iPhone Hurt Qualcomm, Too"
2016-01-29,Report: Large Banks Looking To Integrate Apple Pay In ATMs. Apple Wireless. Charged iPhone Could be Available by 2017. Apple Wireless. Charged iPhone Could be Available by 2017. Report: Large Banks Looking To Integrate Apple Pay In ATMs
